date,market_id,category,commodity,commodity_id,unit,pricetype,currency,price,usdprice,market,admin1,admin2,latitude,longitude
2/15/2006,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,33.08,0.32,Colombo City,Western,Colombo,6.93,79.85
2/15/2006,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,30.98,0.3,Colombo City,Western,Colombo,6.93,79.85
3/15/2006,360,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,25,0.24,Ampara,Eastern,Ampara,7.28,81.67
3/15/2006,360,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,30.5,0.3,Ampara,Eastern,Ampara,7.28,81.67
3/15/2006,361,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,23.5,0.23,Batticaloa,Eastern,Batticaloa,7.72,81.7
3/15/2006,361,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,30.6,0.3,Batticaloa,Eastern,Batticaloa,7.72,81.7
3/15/2006,366,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,26.8,0.26,Trincomalee,Eastern,Trincomalee,8.57,81.23
3/15/2006,366,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,29.4,0.29,Trincomalee,Eastern,Trincomalee,8.57,81.23
3/15/2006,362,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,30,0.29,Jaffna,Northern,Jaffna,9.66,80.01
3/15/2006,362,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,33.5,0.33,Jaffna,Northern,Jaffna,9.66,80.01
3/15/2006,363,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,28.5,0.28,Kilinochchi,Northern,Kilinochchi,9.4,80.4
3/15/2006,363,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32,0.31,Kilinochchi,Northern,Kilinochchi,9.4,80.4
3/15/2006,364,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,27.5,0.27,Mannar,Northern,Mannar,8.98,79.9
3/15/2006,364,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32.5,0.32,Mannar,Northern,Mannar,8.98,79.9
3/15/2006,365,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,36,0.35,Mulaitivu,Northern,Mullattivu,9.27,80.81
3/15/2006,367,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,29.5,0.29,Vavuniya,Northern,Vavuniya,8.75,80.5
3/15/2006,367,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,32.5,0.32,Vavuniya,Northern,Vavuniya,8.75,80.5
3/15/2006,368,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,31,0.3,Colombo City,Western,Colombo,6.93,79.85
3/15/2006,368,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,31.76,0.31,Colombo City,Western,Colombo,6.93,79.85
4/15/2006,360,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,27.5,0.27,Ampara,Eastern,Ampara,7.28,81.67
4/15/2006,360,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,33.5,0.33,Ampara,Eastern,Ampara,7.28,81.67
4/15/2006,361,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,36.66,0.36,Batticaloa,Eastern,Batticaloa,7.72,81.7
4/15/2006,361,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,31,0.3,Batticaloa,Eastern,Batticaloa,7.72,81.7
4/15/2006,366,Cereals And Tubers,Rice (Red Nadu),157,KG,Retail,LKR,34,0.33,Trincomalee,Eastern,Trincomalee,8.57,81.23
4/15/2006,366,Cereals And Tubers,Wheat Flour,58,KG,Retail,LKR,31,0.3,Trincomalee,Eastern,Trincomalee,8.57,81.23
