market_id,market,countryiso3,admin1,admin2,latitude,longitude
5301,Kalmadu,LKA,Northern,Vavuniya,8.85,80.4
5302,Kaduruwela,LKA,North Central,Polonnaruwa,7.93,81.03
5303,Kaluvanchikudi,LKA,Eastern,Batticaloa,7.52,81.78
5304,Kekirawa,LKA,North Central,Anuradhapura,8.04,80.6
5305,Kinniya,LKA,Eastern,Trincomalee,8.5,81.19
5306,Kokodichcholai,LKA,Eastern,Batticaloa,7.61,81.71
5307,Kumbukkana,LKA,Uva,Moneragala,6.81,81.3
5308,Kumulamunai,LKA,Northern,Mullattivu,9.15,80.82
5309,Lahugala,LKA,Eastern,Ampara,6.87,81.72
5310,Liyangolla,LKA,Uva,Moneragala,6.9,81.43
5311,Maraka,LKA,Central,Matale,7.59,80.96
5312,Madampe,LKA,North Western,Puttalam,7.5,79.84
5313,Madurankuliya,LKA,North Western,Puttalam,7.91,79.82
5314,Mahawewa,LKA,North Western,Puttalam,7.45,79.83
5315,Mahiyanganaya,LKA,Uva,Badulla,7.34,80.99
5316,Mallavi,LKA,Northern,Mullattivu,9.13,80.31
5317,Maradankadawala,LKA,North Central,Anuradhapura,8.13,80.56
5318,Murunkan,LKA,Northern,Mannar,8.83,80.05
5319,Muttur,LKA,Eastern,Trincomalee,8.44,81.26
5320,Nachchaduwa,LKA,North Central,Anuradhapura,8.25,80.46
5321,Nakkala,LKA,Uva,Moneragala,6.89,81.3
5322,Nanaddan,LKA,Northern,Mannar,8.84,79.97
5323,Nattandiya,LKA,North Western,Puttalam,7.41,79.86
5324,Naula,LKA,Central,Matale,7.7,80.65
5325,Nintavur,LKA,Eastern,Ampara,7.36,81.85
5326,Nochchiyagama,LKA,North Central,Anuradhapura,8.26,80.21
5327,Norochcholai,LKA,North Western,Puttalam,8.05,79.74
5328,Oddusudan,LKA,Northern,Mullattivu,9.15,80.65
5329,Okkampitiya,LKA,Uva,Moneragala,6.75,81.31
5330,Omanthai,LKA,Northern,Vavuniya,8.87,80.5
5331,Palwatta,LKA,Uva,Moneragala,6.74,81.19
5332,Pandarikkulam,LKA,Northern,Vavuniya,8.76,80.48
5333,Poonakary,LKA,Northern,Kilinochchi,9.51,80.21
5334,Poovarasankulam,LKA,Northern,Vavuniya,8.75,80.37
5335,Pulasthigama,LKA,North Central,Polonnaruwa,8.04,81.08
5336,Pulmudai,LKA,Eastern,Trincomalee,8.94,80.99
5337,Puthukkulam,LKA,Northern,Vavuniya,8.8,80.47
5338,Puthukudiruppu,LKA,Northern,Mullattivu,9.31,80.7
5339,Sammanthurai,LKA,Eastern,Ampara,7.36,81.81
5340,Sampoor,LKA,Eastern,Trincomalee,8.46,81.29
5341,Serunuwara,LKA,Eastern,Trincomalee,8.33,81.3
5342,Sewagama,LKA,North Central,Polonnaruwa,7.97,81.03
5343,Sewanapitiya,LKA,North Central,Polonnaruwa,7.92,81.18
5344,Sigiriya,LKA,Central,Matale,7.95,80.76
5345,Thambiluvil,LKA,Eastern,Ampara,7.13,81.85
5346,Thambuttegama,LKA,North Central,Anuradhapura,8.16,80.3
5347,Thanamalwila,LKA,Uva,Moneragala,6.43,81.13
5348,Thandikkulam,LKA,Northern,Vavuniya,8.77,80.49
5349,Thunukkai,LKA,Northern,Mullattivu,9.15,80.28
5350,Tirappane,LKA,North Central,Anuradhapura,8.22,80.52
5351,Valaichenai,LKA,Eastern,Batticaloa,7.92,81.53
5352,Veppankulam,LKA,Northern,Vavuniya,8.76,80.46
5353,Vinayagahapuram,LKA,Eastern,Ampara,7.1,81.84
5354,Visvamadu,LKA,Northern,Mullattivu,9.39,80.55
5355,Buttala,LKA,Uva,Moneragala,6.76,81.25
5356,Wijayapura,LKA,Eastern,Ampara,7.4,81.72
5885,Economic Centre - Peliyagoda,LKA,Western,Gampaha,6.97,79.89
7106,Narahenpita,LKA,Western,Colombo,6.89,79.88
7107,Piliyandala,LKA,Western,Colombo,6.8,79.92
7833,Embilipitiya,LKA,Sabaragamuwa,Ratnapura,6.33,80.85
7834,Tissamaharama,LKA,Southern,Hambantota,6.28,81.29
7835,Galenbindunuwewa,LKA,North Central,Anuradhapura,8.29,80.72
7836,Bandarawela,LKA,Uva,Badulla,6.83,80.99
7837,Dehiattakandiya,LKA,Eastern,Ampara,7.66,81.05
7838,Veyangoda(DEC),LKA,Western,Gampaha,7.16,80.06
7839,Keppetipola (DEC},LKA,Uva,Badulla,6.91,80.91
7840,Hanguranketha,LKA,Central,Nuwara Eliya,7.18,80.78
7841,Meegoda(DEC),LKA,Western,Colombo,6.84,80.05
7842,Nikaweratiya,LKA,North Western,Kurunegala,7.75,80.12
7843,Mullativu,LKA,Northern,Mullattivu,9.32,80.7
7844,4th Cross Street,LKA,Western,Colombo,6.94,79.85
8003,Divulapitiya,LKA,Western,Gampaha,7.22,80.02
8746,Matale2,LKA,Sabaragamuwa,Kegalle,7.34,80.35
11293,Deltota,LKA,Central,Kandy,7.17,80.7
11294,Doluwa,LKA,Central,Kandy,7.18,80.61
11295,Gangaielakora,LKA,Central,Kandy,7.16,80.57
11296,Pathahewaheta,LKA,Central,Kandy,7.22,80.74
11297,Udhapahalta,LKA,Central,Kandy,7.12,80.6
11298,Ududumbara,LKA,Central,Kandy,7.32,80.88
11299,Kothmale East,LKA,Central,Nuwara Eliya,7.06,80.68
11300,Mathurata,LKA,Central,Nuwara Eliya,7.08,80.8
11301,Walapane,LKA,Central,Nuwara Eliya,7.11,80.86
11302,Nildandahinna,LKA,Central,Nuwara Eliya,7.08,80.89
11303,Thalawakele,LKA,Central,Nuwara Eliya,6.94,80.66
